code,name,tech,system,capacity_MW,lat,lon,confidence,source,cod_ceg,municipio,bus
4949,MMGDBA169,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,EUNAPO-BA138
4950,MMGDBA183,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,IRECE--BA138
4951,MMGDBA18504,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,OLINDI-BA013
4952,MMGDBA18510,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,RGRAN2-BA138
4953,MMGDBA18530,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,RGRAN1-BA138
4954,MMGDBA18553,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,BRUMAD-BA138
4955,MMGDBA18554,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,ITAMAR-BA138
4956,MMGDBA18586,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,JUAZE3-BA069
4957,MMGDBA186,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,BARREI-BA138
4958,MMGDBA18600,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,ITAPEB-BA138
4959,MMGDBA18601,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,CAMACA-BA138
4960,MMGDBA18602,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,P.ASTE-BA138
4961,MMGDBA18630,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,PORSEG-BA138
4962,MMGDBA18636,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,TRANCO-BA138
4963,MMGDBA18640,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,RBRANC-BA138
4964,MMGDBA18641,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,RPEDRA-BA138
4965,MMGDBA18642,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,CICERR-BA138
4966,MMGDBA18643,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,MVERDE-BA138
4967,MMGDBA18644,Solar,NORDESTE,0.0,-11.808100,-41.817816,aggregate-centroid,uf-centroid:BA,,,LEMAGA-BA138
