code,name,system,cap_MW,lat,lon,confidence,source,cod_ceg,municipio,bus
44,ANGRA 3,SUDESTE,1405.0,-23.010000,-44.470000,bus-proxy,bus:ANGRA3UNE013,,,ANGRA3UNE013
760,SEROPEDICA 2,SUDESTE,360.0,-22.720043,-43.646874,siga-fuzzy,siga-fuzzy,UTE.GN.RJ.027952-8.1,Seropédica - RJ,
761,TRES LAGOAS2,SUDESTE,350.0,-20.741010,-51.654146,siga-fuzzy,siga-fuzzy,UTE.GN.MS.027975-7.1,Três Lagoas - MS,
769,JUIZ DE FOR1,SUDESTE,87.05,-21.685454,-43.447479,siga-fuzzy,siga-fuzzy,UTE.GN.MG.001276-9.1,Juiz de Fora - MG,
772,NORTEFLU,SUDESTE,826.78,-21.262273,-44.693914,system-centroid,system-centroid,,,
774,N.PIRATININ1,SUDESTE,386.38,-23.698889,-46.678611,siga-fuzzy,siga-fuzzy,UTE.GN.SP.028191-3.1,São Paulo - SP,
775,ST.CRUZ NOV1,SUDESTE,500.0,-22.914269,-43.765292,siga-fuzzy,siga-fuzzy,UTE.GN.RJ.027243-4.1,Rio de Janeiro - RJ,
776,BAIXADA FLU1,SUDESTE,530.0,-22.722230,-43.642957,siga-fuzzy,siga-fuzzy,UTE.GN.RJ.030769-6.1,Seropédica - RJ,
791,DAIA       1,SUDESTE,44.44,-16.396393,-48.930359,plant,siga-token,UTE.PE.GO.028612-5.1,Anápolis - GO,DAIA--UTE013
795,XAVANTES   1,SUDESTE,53.58,-16.580000,-49.260000,bus-proxy,bus:XAVANTUTE013,,,XAVANTUTE013
801,TERMOMACAE 1,SUDESTE,923.0,-22.305917,-41.865813,siga-fuzzy,siga-fuzzy,UTE.GN.RJ.028029-1.1,Macaé - RJ,
802,KARKEY 013 2,SUDESTE,258.64,-22.930485,-43.857014,plant,siga-token,UTE.GN.RJ.055914-8.1,Itaguaí - RJ,ZOESTE-RJ138
803,KARKEY 019 2,SUDESTE,115.92,-22.936126,-43.834043,plant,siga-token,UTE.GN.RJ.055917-2.1,Itaguaí - RJ,ZOESTE-RJ138
804,LINHARES PC1,SUDESTE,36.0,-19.530000,-39.800000,bus-proxy,bus:LORM--UTE013,,,LORM--UTE013
805,PAULINIA VE1,SUDESTE,15.95,-22.770000,-47.200000,bus-proxy,bus:PAULIVUTE013,,,PAULIVUTE013
806,PORSUD I   2,SUDESTE,115.92,-20.940069,-43.802578,plant,siga-token,UTE.GN.RJ.055706-4.1,Itaguaí - RJ,ZOESTE-RJ138
807,PORSUD II  1,SUDESTE,78.32,-22.870000,-43.710000,bus-proxy,bus:ZOESTE-RJ138,,,ZOESTE-RJ138
808,POVOACAO 1 1,SUDESTE,74.96,-19.534731,-39.802150,plant,siga-token,UTE.GN.ES.056045-6.1,Linhares - ES,
809,VIANA 1    1,SUDESTE,37.48,-20.379169,-40.436947,siga-fuzzy,siga-fuzzy,UTE.GN.ES.056350-1.1,Viana - ES,
812,CAV-2374,SUDESTE,385.0,-22.580000,-48.820000,bus-proxy,bus:GAIVOT-SP138,,,GAIVOT-SP138
813,CAV-1229,SUDESTE,385.0,-14.120000,-46.630000,bus-proxy,bus:IACIAR-GO138,,,IACIAR-GO138
814,CAV-42559,SUDESTE,385.0,-19.650000,-51.400000,bus-proxy,bus:INOCEN-MS138,,,INOCEN-MS138
815,CAV-1022,SUDESTE,385.0,-23.380000,-46.400000,bus-proxy,bus:AERGUL-SP138,,,AERGUL-SP138
816,CAV-2366,SUDESTE,385.0,-22.610000,-48.800000,bus-proxy,bus:LENCOI-SP138,,,LENCOI-SP138
817,CAV-8598,SUDESTE,385.0,-20.680000,-53.570000,bus-proxy,bus:MIMOSO-MS138,,,MIMOSO-MS138
818,CAV-27591,SUDESTE,385.0,-17.450000,-46.690000,bus-proxy,bus:PARAC2-MG138,,,PARAC2-MG138
819,CAV-27411,SUDESTE,385.0,-21.860000,-44.510000,bus-proxy,bus:PTEMP2-MG138,,,PTEMP2-MG138
820,CAV-49057,SUDESTE,385.0,-20.450000,-53.780000,bus-proxy,bus:RIBASR-MS138,,,RIBASR-MS138
821,CAV-25728,SUDESTE,385.0,-12.550000,-55.720000,bus-proxy,bus:SOR.CT-MT069,,,SOR.CT-MT069
822,CAV-49053,SUDESTE,385.0,-20.540000,-53.830000,bus-proxy,bus:SUZANO-MS138,,,SUZANO-MS138
833,GFSE-38954,SUDESTE,9167.73,-21.840000,-41.020000,bus-proxy,bus:GNA-II-RJ500,,,GNA-II-RJ500
834,GFSE-39511,SUDESTE,9167.73,-19.770000,-40.390000,bus-proxy,bus:JNEIV2-ES500,,,JNEIV2-ES500
835,GFSE-3784,SUDESTE,9167.73,-22.310000,-41.870000,bus-proxy,bus:MACAE--RJ345,,,MACAE--RJ345
836,GFSE-3781,SUDESTE,9167.73,-22.870000,-43.710000,bus-proxy,bus:ZOESTE-RJ500,,,ZOESTE-RJ500
837,GFSE-41173,SUDESTE,9167.73,-9.180000,-57.020000,bus-proxy,bus:SMANOE-MT500,,,SMANOE-MT500
838,GFSE-38952,SUDESTE,9167.73,-22.360000,-41.870000,bus-proxy,bus:V.AZUL-RJ500,,,V.AZUL-RJ500
850,GISE-38954,SUDESTE,4500.0,-21.840000,-41.020000,bus-proxy,bus:GNA-II-RJ500,,,GNA-II-RJ500
851,GISE-3748,SUDESTE,4500.0,-22.750000,-43.330000,bus-proxy,bus:S.JOSE-RJ500,,,S.JOSE-RJ500
852,GISE-39511,SUDESTE,4500.0,-19.770000,-40.390000,bus-proxy,bus:JNEIV2-ES500,,,JNEIV2-ES500
853,GISE-3784,SUDESTE,4500.0,-22.310000,-41.870000,bus-proxy,bus:MACAE--RJ345,,,MACAE--RJ345
854,GISE-2948,SUDESTE,4500.0,-23.700000,-46.680000,bus-proxy,bus:PIRATI-SP230,,,PIRATI-SP230
