code,name,system,cap_MW,lat,lon,confidence,source,cod_ceg,municipio,bus
51,CANOAS II,PARANA,72.0,-22.938333,-50.250833,plant,siga-name,UHE.PH.SP.027092-0.1,"Andirá - PR, Palmital - SP",CANOA2UHE006
52,CANOAS I,PARANA,82.5,-22.941111,-50.517222,plant,siga-name,UHE.PH.SP.000647-5.1,"Cândido Mota - SP, Itambaracá - PR",CANOA1UHE006
53,PARANAPANEMA,PARANA,31.501,-23.187694,-49.384466,plant,siga-name,UHE.PH.SP.001972-0.1,Piraju - SP,PIRAJ--SP069
61,CAPIVARA,PARANA,643.0,-22.650000,-51.360000,bus-proxy,bus:CAPIVAUHE014,,,CAPIVAUHE014
62,TAQUARUCU,PARANA,525.0,-22.543669,-52.000250,plant,siga-token,UHE.PH.SP.002821-5.1,"Sandovalina - SP, Santa Inês - PR",TAQUARUHE013
63,ROSANA,PARANA,354.0,-22.600000,-52.869444,plant,siga-name,UHE.PH.SP.002555-0.1,"Diamante do Norte - PR, Rosana - SP",ROSANAUHE013
153,SAO DOMINGOS,PARANA,48.0,-20.059754,-53.180371,plant,siga-name,UHE.PH.MS.028761-0.1,"Água Clara - MS, Ribas do Rio Pardo - MS",SDOMINUHE013
203,CORUMBA III,PARANA,96.447,-16.788201,-47.934619,plant,siga-name,UHE.PH.GO.028352-5.1,Luziânia - GO,CORUM3UHE013
241,SLT VERDINHO,PARANA,93.0,-19.140000,-50.750000,bus-proxy,bus:SRVERDUHE013,,,SRVERDUHE013
249,OURINHOS,PARANA,44.001,-23.068256,-49.837978,plant,siga-name,UHE.PH.SP.027872-6.1,"Ourinhos - SP, Jacarezinho - PR",OURIN-UHE013
260,ESTRELA,PARANA,48.3,-18.495833,-51.654444,plant,siga-name,UHE.PH.GO.038340-6.1,"Itarumã - GO, Serranópolis - GO",ESTRELUHE013
262,SALTO,PARANA,116.0,-18.808181,-51.170986,plant,siga-name,UHE.PH.GO.028758-0.1,"Caçu - GO, Itarumã - GO",SALTO-UHE013
290,ESPORA,PARANA,32.001,-18.675833,-51.865556,plant,siga-name,UHE.PH.GO.000908-3.1,"Aporé - GO, Serranópolis - GO",ESPORAPCH013
311,CACU,PARANA,65.0,-18.530556,-51.147778,plant,siga-name,UHE.PH.GO.028756-3.1,Caçu - GO,CACU--UHE013
312,B. COQUEIROS,PARANA,90.0,-20.137500,-43.888056,plant,siga-token,CGH.PH.MG.027788-6.1,Nova Lima - MG,B.COQUUHE013
315,FOZ R CLARO,PARANA,68.4,-20.131873,-43.876935,plant,siga-token,PCH.PH.MG.000009-4.1,Nova Lima - MG,FRCLARUHE013
117,GUARAPIRANGA,SUDESTE,0.0,-20.137545,-43.891926,plant,siga-token,PCH.PH.MG.000010-8.1,Nova Lima - MG,
118,BILLINGS,SUDESTE,0.0,-20.137500,-43.888056,plant,siga-token,CGH.PH.MG.027788-6.1,Nova Lima - MG,
119,HENRY BORDEN,SUDESTE,889.0,-23.861915,-46.462088,plant,siga-name,UHE.PH.SP.001084-7.1,Cubatão - SP,
120,JAGUARI,SUDESTE,27.6,-23.192982,-46.021315,plant,siga-name,UHE.PH.SP.027131-4.1,"Jacareí - SP, São José dos Campos - SP",JAGURBUHE013
121,PARAIBUNA/PA,SUDESTE,87.02,-23.410000,-45.600556,plant,siga-token,UHE.PH.SP.027122-5.1,Paraibuna - SP,PARAIBUHE013
122,S.BRANCA PAR,SUDESTE,56.05,-23.370000,-45.870000,bus-proxy,bus:S.BRANUHE013,,,S.BRANUHE013
123,FUNIL,SUDESTE,216.0,-22.528813,-44.567931,plant,siga-name,UHE.PH.RJ.027118-7.1,"Itatiaia - RJ, Resende - RJ",FUNIL-UHE013
124,LAJES,SUDESTE,0.0,-6.781944,-48.150833,plant,siga-name,CGH.PH.TO.001305-6.1,Wanderlândia - TO,
126,PICADA,SUDESTE,50.0,-21.884858,-43.540836,plant,siga-name,UHE.PH.MG.002053-2.1,Juiz de Fora - MG,PICADAUHE013
127,SOBRAGI,SUDESTE,60.0,-21.979254,-43.363077,plant,siga-name,UHE.PH.MG.002757-0.1,"Belmiro Braga - MG, Simão Pereira - MG",SOBRAGUHE013
129,SIMPLICIO,SUDESTE,305.7,-21.920744,-42.793148,plant,siga-name,UHE.PH.MG.029458-6.1,"Além Paraíba - MG, Sapucaia - RJ, Três Rios - RJ, Chiador - MG",SIMPLIUHE013
130,ILHA POMBOS,SUDESTE,187.169,-21.840000,-42.580000,bus-proxy,bus:I.POMBUHE013,,,I.POMBUHE013
131,NILO PECANHA,SUDESTE,380.03,-22.683304,-43.873275,plant,siga-name,UHE.PH.RJ.001536-9.1,Piraí - RJ,
183,FONTES A,SUDESTE,44.0,-20.131873,-43.876935,plant,siga-token,PCH.PH.MG.000009-4.1,Nova Lima - MG,FONTE1UHE013
133,P. PASSOS,SUDESTE,99.9,-22.690000,-43.820000,bus-proxy,bus:P.PASSUHE013,,,P.PASSUHE013
134,SALTO GRANDE,SUDESTE,102.0,-19.165278,-42.775040,plant,siga-name,UHE.PH.MG.027210-8.1,Braúnas - MG,S.GRANUHE013
135,P. ESTRELA,SUDESTE,112.24,-19.120000,-42.660000,bus-proxy,bus:P.ESTRUHE013,,,P.ESTRUHE013
139,CANDONGA,SUDESTE,140.001,-20.207422,-42.854999,plant,siga-token,UHE.PH.MG.000641-6.1,"Rio Doce - MG, Santa Cruz do Escalvado - MG",CANDONUHE013
141,BAGUARI,SUDESTE,140.0,-19.021569,-42.124896,plant,siga-name,UHE.PH.MG.029453-5.1,"Alpercata - MG, Fernandes Tourinho - MG, Governador Valadares - MG, Iapu - MG, Periquito - MG, Sobrália - MG",BAGUARUHE013
143,AIMORES,SUDESTE,330.0,-19.457141,-41.097980,plant,siga-name,UHE.PH.MG.000042-6.1,"Baixo Guandu - ES, Aimorés - MG",AIMOREUHE013
144,MASCARENHAS,SUDESTE,198.0,-19.500483,-40.918464,plant,siga-name,UHE.PH.ES.001432-0.1,"Baixo Guandu - ES, Aimorés - MG",MASCA-UHE013
145,SUICA,SUDESTE,35.337,-20.083151,-40.577012,plant,siga-name,UHE.PH.ES.002781-2.1,Santa Leopoldina - ES,SUICA1UHE013
148,IRAPE,SUDESTE,399.0,-16.738056,-42.574722,plant,siga-name,UHE.PH.MG.001146-0.1,"Berilo - MG, Grão Mogol - MG",IRAPE-UHE013
155,RETIRO BAIXO,SUDESTE,83.657,-18.879412,-44.776131,plant,siga-name,UHE.PH.MG.029457-8.1,"Curvelo - MG, Pompéu - MG",R.BAIXUHE013
156,TRES MARIAS,SUDESTE,396.0,-18.215000,-45.259167,plant,siga-name,UHE.PH.MG.027113-6.1,Três Marias - MG,T.MARIUHE013
162,QUEIMADO,SUDESTE,105.0,-16.210721,-47.323332,plant,siga-name,UHE.PH.MG.002176-8.1,"Cristalina - GO, Unaí - MG",QUEIMAUHE013
185,BARRA BRAUNA,SUDESTE,39.0,-21.450000,-42.400000,bus-proxy,bus:B.BRAUUHE013,,,B.BRAUUHE013
192,GUILMAN-AMOR,SUDESTE,140.0,-19.710000,-42.960000,bus-proxy,bus:GUI.AMUHE013,,,GUI.AMUHE013
193,SA CARVALHO,SUDESTE,78.0,-19.646221,-42.850182,plant,siga-name,UHE.PH.MG.002563-1.1,Antônio Dias - MG,S.CARVUHE013
195,JAURU,SUDESTE,118.0,-15.235556,-58.727778,plant,siga-name,UHE.PH.MT.001245-9.1,"Indiavaí - MT, Jauru - MT",JAURH-UHE013
196,GUAPORE,SUDESTE,120.0,-15.123889,-58.964722,plant,siga-name,UHE.PH.MT.001066-9.1,Pontes e Lacerda - MT,GUAPO-UHE013
217,ROSAL,SUDESTE,55.0,-20.917135,-41.721924,plant,siga-name,UHE.PH.ES.002553-4.1,"Bom Jesus do Itabapoana - RJ, Guaçuí - ES, São José do Calçado - ES",ROSAL1UHE013
250,MIRADOR,SUDESTE,80.0,-14.470000,-48.490000,bus-proxy,bus:NIQUEL-GO230,,,NIQUEL-GO230
251,SERRA MESA,SUDESTE,1275.0,-13.830000,-48.300000,bus-proxy,bus:S.MESAUHE013,,,S.MESAUHE013
252,CANA BRAVA,SUDESTE,450.0,-13.402387,-48.143329,plant,siga-name,UHE.PH.GO.000630-0.1,"Cavalcante - GO, Minaçu - GO",C.BRAVUHE013
253,SAO SALVADOR,SUDESTE,243.2,-12.808435,-48.238180,plant,siga-name,UHE.PH.TO.028567-6.1,"Paranã - TO, São Salvador do Tocantins - TO",SSALVAUHE013
257,PEIXE ANGICA,SUDESTE,498.75,-12.240000,-48.390000,bus-proxy,bus:PEIXE-UHE013,,,PEIXE-UHE013
261,LAJEADO,SUDESTE,902.5,-19.057638,-52.532074,plant,siga-name,PCH.PH.MS.031438-2.1,"Cassilândia - MS, Chapadão do Sul - MS",LAJEADUHE013
278,MANSO,SUDESTE,210.0,-14.871175,-55.785277,plant,siga-name,UHE.PH.MT.001401-0.1,"Chapada dos Guimarães - MT, Rosário Oeste - MT",MANSO-UHE013
281,PONTE PEDRA,SUDESTE,176.1,-17.610000,-54.830000,bus-proxy,bus:PPEDRAUHE013,,,PPEDRAUHE013
283,STA CLARA MG,SUDESTE,60.0,-17.900000,-40.200000,bus-proxy,bus:S.CLARUHE013,,,S.CLARUHE013
304,ITIQUIRA 1,SUDESTE,60.8,-17.090000,-54.830000,bus-proxy,bus:ITIQUIUHE013,,,ITIQUIUHE013
305,ITIQUIRA 2,SUDESTE,96.57,-17.090000,-54.830000,bus-proxy,bus:ITIQU2UHE013,,,ITIQU2UHE013
310,DARDANELOS,SUDESTE,261.0,-10.163333,-59.464167,plant,siga-name,UHE.PH.MT.029597-3.1,Aripuanã - MT,
493,FORMOSO,SUDESTE,342.0,-17.450000,-45.120000,bus-proxy,bus:BURIT3-MG345,,,BURIT3-MG345
1132,CALHA-CEDAE,SUDESTE,0.0,-18.774569,-46.202379,system-centroid,system-centroid,,,
184,FONTES BC,SUDESTE,88.0,-20.131873,-43.876935,plant,siga-token,PCH.PH.MG.000009-4.1,Nova Lima - MG,FONTE2UHE013
182,VIGARIO,SUDESTE,0.0,-18.774569,-46.202379,system-centroid,system-centroid,,,
181,SANTANA,SUDESTE,88.54,-22.074167,-48.062222,plant,siga-name,CGH.PH.SP.027415-1.2,São Carlos - SP,FONTE1UHE013
1133,VERTSANTA,SUDESTE,0.0,-18.774569,-46.202379,system-centroid,system-centroid,,,
125,STA. CECILIA,SUDESTE,30.56,-22.690000,-43.860000,bus-proxy,bus:FONTE1UHE013,,,FONTE1UHE013
180,TOCOS,SUDESTE,0.0,-18.774569,-46.202379,system-centroid,system-centroid,,,
56,TELEM BORBA,SUL,118.0,-24.061921,-50.331896,bus-proxy-interp,bus:TBORB-UHE013,,,TBORB-UHE013
57,MAUA,SUL,352.08,-24.060000,-50.710000,bus-proxy,bus:MAUA--UHE013,,,MAUA--UHE013
71,STA CLARA PR,SUL,120.168,-25.650000,-51.960000,bus-proxy,bus:SCLAR-UHE013,,,SCLAR-UHE013
72,FUNDAO,SUL,120.168,-25.703448,-52.002022,plant,siga-name,UHE.PH.PR.028360-6.1,"Foz do Jordão - PR, Pinhão - PR",FUNDA-UHE013
73,JORDAO,SUL,0.0,-25.765803,-52.088435,plant,siga-token,PCH.PH.PR.002398-1.1,Reserva do Iguaçu - PR,
74,G. B. MUNHOZ,SUL,1676.0,-20.137545,-43.891926,plant,siga-token,PCH.PH.MG.000010-8.1,Nova Lima - MG,GBM---UHE013
