uf,num,nome_eol,n_turbines,unit_power_MW,hub_height_m,rotor_diameter_m,total_height_m,total_MW,operacao,heterogeneous_hub
RN,047235,Cajuína A1,14,5.7,120.0,163.0,202.0,79.8,Sim,False
BA,034809,Ventos de São Vitor 01,5,6.2,119.0,170.0,204.0,31.0,Não,False
BA,034838,Ventos de São Vitor 07,7,6.2,119.0,170.0,204.0,43.4,Sim,False
BA,034778,Serra das Almas I,18,4.5,90.0,150.0,165.0,81.0,Não,False
BA,049145,Pedra Pintada IV,22,4.5,120.0,150.0,195.0,99.0,Não,False
RN,034612,Passagem,9,5.7,120.0,163.0,202.0,51.3,Não,False
RN,049170,Cajuína B19,4,5.9,120.0,163.0,202.0,23.6,Não,False
RN,049171,Cajuína B20,5,5.9,120.0,163.0,202.0,29.5,Não,False
BA,046757,Canudos I,14,3.5,90.0,132.0,156.0,49.0,Sim,False
RN,033964,Baixa do Sítio,11,4.2,125.0,147.0,198.5,46.2,Sim,False
BA,047205,Ventos de Santo Antônio 01,10,4.5,105.0,150.0,180.0,45.0,Sim,False
RN,049173,Cajuína B15,14,5.7,120.0,163.0,202.0,79.8,Não,False
RN,033835,Santo Agostinho 4,6,6.2,115.0,170.0,200.0,37.2,Não,False
RN,047238,Cajuína B12,7,5.7,120.0,163.0,202.0,39.9,Sim,False
RN,047166,Oeste Seridó V,5,4.5,90.0,150.0,165.0,22.5,Sim,False
RN,049172,Cajuína B14,9,5.7,120.0,163.0,202.0,51.3,Não,False
RN,047160,Oeste Seridó XII,14,4.5,90.0,150.0,165.0,63.0,Sim,False
PB,043276,Serra do Seridó XII,14,5.8,125.0,158.0,204.0,81.2,Sim,False
BA,034659,Ventos de São Vitor 12,5,6.2,119.0,170.0,204.0,31.0,Sim,False
RN,047163,Oeste Seridó VI,4,4.5,90.0,150.0,165.0,18.0,Sim,False
RN,047161,Oeste Seridó XI,6,4.5,90.0,150.0,165.0,27.0,Sim,False
RN,047241,Cajuína B11,24,5.7,120.0,163.0,202.0,136.8,Não,False
RN,044975,Oeste Seridó II,10,4.5,90.0,150.0,165.0,45.0,Sim,False
RN,047165,Oeste Seridó IV,6,4.5,90.0,150.0,165.0,27.0,Sim,False
PE,073524,Buíque II,6,4.5,125.0,150.0,200.0,27.0,Não,False
PE,073523,Buíque I,8,4.5,125.0,150.0,200.0,36.0,Não,False
PE,073525,Buíque III,4,4.5,125.0,150.0,200.0,18.0,Não,False
PE,073529,Buíque VII,7,4.5,125.0,150.0,200.0,31.5,Não,False
PE,073526,Buíque IV,7,4.5,125.0,150.0,200.0,31.5,Não,False
PE,073528,Buíque VI,4,4.5,125.0,150.0,200.0,18.0,Não,False
PE,073530,Buíque VIII,7,4.5,125.0,150.0,200.0,31.5,Não,False
PE,073527,Buíque V,7,4.5,125.0,150.0,200.0,31.5,Não,False
PE,073522,Buíque IX,4,4.5,125.0,150.0,200.0,18.0,Não,False
PE,073533,Buíque XII,5,4.5,125.0,150.0,200.0,22.5,Não,False
PE,073532,Buíque XI,6,4.5,125.0,150.0,200.0,27.0,Não,False
PE,073531,Buíque X,5,4.5,125.0,150.0,200.0,22.5,Não,False
RS,072942,São Miguel VIII,11,4.5,125.0,150.0,200.0,49.5,Não,False
RS,072940,São Miguel VI,10,4.5,125.0,150.0,200.0,45.0,Não,False
RS,072941,São Miguel VII,8,4.5,125.0,150.0,200.0,36.0,Não,False
RS,072939,São Miguel V,10,4.5,125.0,150.0,200.0,45.0,Não,False
RS,072937,São Miguel III,11,4.5,125.0,150.0,200.0,49.5,Não,False
RS,072938,São Miguel IV,8,4.5,125.0,150.0,200.0,36.0,Não,False
RS,072936,São Miguel II,6,4.5,125.0,150.0,200.0,27.0,Não,False
RS,072935,São Miguel I,14,4.5,125.0,150.0,200.0,63.0,Não,False
BA,044951,Aroeira 06,9,4.3,90.0,150.0,165.0,38.7,Sim,False
BA,038077,Ventos de Santa Eugênia 01,9,5.7,120.0,163.0,202.0,51.3,Não,False
BA,038079,Ventos de Santa Eugênia 03,7,5.7,120.0,163.0,202.0,39.9,Sim,False
BA,038081,Ventos de Santa Eugênia 05,6,5.7,120.0,163.0,202.0,34.2,Sim,False
BA,038082,Ventos de Santa Eugênia 06,6,5.7,120.0,163.0,202.0,34.2,Não,False
BA,038088,Ventos de Santa Eugênia 12,7,5.7,120.0,163.0,202.0,39.9,Sim,False
BA,038086,Ventos de Santa Eugênia 10,8,5.7,120.0,163.0,202.0,45.6,Sim,False
BA,038087,Ventos de Santa Eugênia 11,5,5.7,120.0,163.0,202.0,28.5,Não,False
BA,044948,Aroeira 03,10,4.3,90.0,150.0,165.0,43.0,Sim,False
BA,044947,Aroeira 02,10,4.3,90.0,150.0,165.0,43.0,Sim,False
BA,044949,Aroeira 04,10,4.3,90.0,150.0,165.0,43.0,Sim,False
BA,044940,Aroeira 01,11,4.3,90.0,150.0,165.0,47.3,Sim,False
BA,044950,Aroeira 05,10,4.3,90.0,150.0,165.0,43.0,Sim,False
BA,044953,Aroeira 08,10,4.3,90.0,150.0,165.0,43.0,Sim,False
BA,044952,Aroeira 07,11,4.3,90.0,150.0,165.0,47.3,Sim,False
BA,050915,Ventos de São Vitorino VII,8,5.7,120.0,163.0,202.0,45.6,Não,False
BA,050914,Ventos de São Vitorino IV,8,5.7,120.0,163.0,202.0,45.6,Não,False
BA,050913,Ventos de São Vitorino II,9,5.7,120.0,163.0,202.0,51.3,Não,False
BA,050912,Ventos de São Vitorino I,8,5.7,120.0,163.0,202.0,45.6,Não,False
BA,050069,Ventos de Santa Dulce 09,14,6.2,115.0,170.0,200.0,86.8,Não,False
BA,050068,Ventos de Santa Dulce 08,14,6.2,115.0,170.0,200.0,86.8,Não,False
BA,050067,Ventos de Santa Dulce 07,14,6.2,115.0,170.0,200.0,86.8,Não,False
BA,050066,Ventos de Santa Dulce 06,14,6.2,115.0,170.0,200.0,86.8,Não,False
BA,049808,Ventos de Santa Patrícia 10,11,6.2,115.0,170.0,200.0,68.2,Não,False
BA,049986,Ventos de São Paulo 03,14,4.2,120.0,150.0,195.0,58.8,Não,False
BA,049985,Ventos de São Paulo 02,14,4.2,120.0,150.0,195.0,58.8,Não,False
BA,049989,Ventos de São Paulo 06,14,4.2,120.0,150.0,195.0,58.8,Não,False
BA,049987,Ventos de São Paulo 04,14,4.2,120.0,150.0,195.0,58.8,Não,False
BA,049988,Ventos de São Paulo 05,14,4.2,120.0,150.0,195.0,58.8,Não,False
BA,049809,Ventos de Santa Patrícia 11,10,6.2,115.0,170.0,200.0,62.0,Não,False
BA,049984,Ventos de São Paulo 01,14,4.2,120.0,150.0,195.0,58.8,Não,False
MG,056673,Juramento 6,8,0.0,115.0,170.0,200.0,0.05,Não,False
BA,038102,Ventos de Santa Inês 12,10,0.0,120.0,150.0,195.0,0.04,Não,False
PI,047188,Ventos de Santa Rosa 05,12,0.0,120.0,150.0,195.0,0.05,Não,False
PI,047185,Ventos de Santa Rosa 02,12,0.0,120.0,150.0,195.0,0.05,Não,False
PE,038134,Ventos de São Zacarias 09,8,5.7,115.0,170.0,200.0,45.6,,False
PI,038128,Ventos de São Zacarias 03,16,5.7,115.0,170.0,200.0,91.2,,True
PI,038131,Ventos de São Zacarias 06,16,5.7,115.0,170.0,200.0,91.2,,True
PE,038135,Ventos de São Zacarias 10,8,5.7,115.0,170.0,200.0,45.6,,False
BA,038094,Ventos de Santa Inês 04,10,4.2,120.0,150.0,195.0,42.0,,False
RN,034546,Morada Nova I,5,5.5,125.0,158.0,204.0,27.5,,False
BA,038101,Ventos de Santa Inês 11,10,4.2,120.0,150.0,195.0,42.0,,False
BA,038099,Ventos de Santa Inês 09,10,4.2,120.0,150.0,195.0,42.0,,False
BA,038100,Ventos de Santa Inês 10,10,4.2,120.0,150.0,195.0,42.0,,False
BA,038098,Ventos de Santa Inês 08,10,4.2,120.0,150.0,195.0,42.0,,False
BA,038095,Ventos de Santa Inês 05,10,4.2,120.0,150.0,195.0,42.0,,False
BA,038097,Ventos de Santa Inês 07,10,4.2,120.0,150.0,195.0,42.0,,False
BA,038096,Ventos de Santa Inês 06,10,4.2,120.0,150.0,195.0,42.0,,False
BA,048901,Serra da Gameleira IV,6,6.2,115.0,170.0,200.0,37.2,,False
BA,048898,Serra da Gameleira I,7,6.2,115.0,170.0,200.0,43.4,,False
BA,048900,Serra da Gameleira III,5,6.2,115.0,170.0,200.0,31.0,,False
BA,048899,Serra da Gameleira II,7,6.2,115.0,170.0,200.0,43.4,,False
BA,051572,Serra da Gameleira IX,7,6.2,115.0,107.0,168.0,43.4,,False
MG,056672,Juramento 5,8,6.0,115.0,170.0,200.0,48.0,,False
MG,056674,Juramento 7,8,6.0,115.0,170.0,200.0,48.0,,False
MG,056671,Juramento 4,8,6.0,115.0,170.0,200.0,48.0,,False
MG,056667,Juramento 2,8,6.0,115.0,170.0,200.0,48.0,,False
MG,056668,Juramento 3,8,6.0,115.0,170.0,200.0,48.0,,False
BA,048902,Serra da Gameleira VII,7,6.2,115.0,170.0,200.0,43.4,,False
BA,049028,Serra da Gameleira V,5,6.2,115.0,170.0,200.0,31.0,,False
BA,049285,Serra da Gameleira VIII,7,6.2,115.0,170.0,200.0,43.4,,False
BA,048903,Serra da Gameleira XI,7,6.2,115.0,170.0,200.0,43.4,,False
BA,049029,Serra da Gameleira VI,5,6.2,115.0,170.0,200.0,31.0,,False
BA,049030,Serra da Gameleira X,7,6.2,115.0,170.0,200.0,43.4,,False
BA,050072,Ventos de Santa Dulce 12,14,6.2,115.0,170.0,200.0,86.8,,False
BA,050071,Ventos de Santa Dulce 11,14,6.2,115.0,170.0,200.0,86.8,,False
BA,050070,Ventos de Santa Dulce 10,14,6.2,115.0,170.0,200.0,86.8,,False
PI,047195,Ventos de Santa Rosa 13,12,4.2,120.0,150.0,195.0,50.4,,False
PI,047192,Ventos de Santa Rosa 10,12,4.2,120.0,150.0,195.0,50.4,,False
PI,047191,Ventos de Santa Rosa 09,12,4.2,120.0,150.0,195.0,50.4,,False
PI,047194,Ventos de Santa Rosa 12,12,4.2,120.0,150.0,195.0,50.4,,False
PI,047190,Ventos de Santa Rosa 08,12,4.2,120.0,150.0,195.0,50.4,,False
PI,047193,Ventos de Santa Rosa 11,12,4.2,120.0,150.0,195.0,50.4,,False
PI,049468,Ventos de Santa Rosa 06,12,4.2,120.0,150.0,195.0,50.4,,False
PI,047189,Ventos de Santa Rosa 07,12,4.2,120.0,150.0,195.0,50.4,,False
PI,047184,Ventos de Santa Rosa 01,12,4.2,120.0,150.0,195.0,50.4,,False
PI,047186,Ventos de Santa Rosa 03,12,4.2,120.0,150.0,195.0,50.4,,False
PI,047187,Ventos de Santa Rosa 04,12,4.2,120.0,150.0,195.0,50.4,,False
MG,056675,Juramento 8,8,6.0,115.0,170.0,200.0,48.0,,False
MG,056666,Juramento 1,8,6.0,115.0,170.0,200.0,48.0,,False
BA,050029,Ventos de São Carlos 01,13,4.2,105.0,150.0,180.0,54.6,,False
BA,050030,Ventos de São Carlos 02,11,4.2,105.0,150.0,180.0,46.2,,False
BA,050031,Ventos de São Carlos 03,10,4.2,105.0,150.0,180.0,42.0,,False
BA,050032,Ventos de São Carlos 04,12,4.2,105.0,150.0,180.0,50.4,,False
BA,050033,Ventos de São Carlos 05,13,4.2,105.0,150.0,180.0,54.6,,False
BA,050034,Ventos de São Carlos 06,12,4.2,105.0,150.0,180.0,50.4,,False
BA,057982,Ventos de São Carlos 10,13,4.2,105.0,150.0,180.0,54.6,,False
BA,057985,Ventos de São Carlos 11,10,4.2,105.0,150.0,180.0,42.0,,False
BA,057983,Ventos de São Carlos 09,12,4.2,105.0,150.0,180.0,50.4,,False
BA,050036,Ventos de São Carlos 08,12,4.2,105.0,150.0,180.0,50.4,,False
BA,057984,Ventos de São Carlos 12,10,4.2,105.0,150.0,180.0,42.0,,False
PI,047196,Ventos de Santa Rosa 14,12,4.2,120.0,150.0,195.0,50.4,,False
PI,047197,Ventos de Santa Rosa 15,12,4.2,120.0,150.0,195.0,50.4,,False
PB,056621,Serra do Alagamar X,5,6.2,115.0,170.0,200.0,31.0,,False
PB,056622,Serra do Alagamar XI,5,6.2,115.0,170.0,200.0,31.0,,False
PB,056620,Serra do Alagamar IX,5,6.2,115.0,170.0,200.0,31.0,,False
PB,056618,Serra do Alagamar IV,4,6.2,115.0,170.0,200.0,24.8,,False
PB,056625,Serra do Alagamar XIV,4,6.2,115.0,170.0,200.0,24.8,,False
PB,056624,Serra do Alagamar XIII,4,6.2,115.0,170.0,200.0,24.8,,False
PB,056623,Serra do Alagamar XII,7,6.2,115.0,170.0,200.0,43.4,,False
BA,057142,Ventos de São Vitorino VI,9,5.7,120.0,163.0,202.0,51.3,,False
BA,034428,Parque Eólico Umbuzeiro-Muquim,15,3.0,,97.0,126.0,45.0,,False
BA,073686,Parque Eólico Maravilha V,5,3.1,,170.0,200.0,15.5,,False
BA,073684,Parque Eólico Maravilha III,5,6.2,,170.0,200.0,31.0,,False
BA,073683,Parque Eólico Maravilha II,5,6.2,,170.0,200.0,31.0,,False
BA,073685,Parque Eólico Maravilha IV,5,6.2,,170.0,200.0,31.0,,False
BA,034427,Parque Eólico Mandacaru,14,2.0,,97.0,126.0,28.0,,False
BA,034429,Parque Eólico Boa Esperança,30,3.0,,97.0,126.0,90.0,,False
PI,038130,Ventos de São Zacarias 05,8,5.7,120.0,163.0,200.0,45.6,,False
PI,038132,Ventos de São Zacarias 07,8,5.7,120.0,163.0,200.0,45.6,,False
PI,038126,Ventos de São Zacarias 01,8,5.7,120.0,163.0,200.0,45.6,,False
PI,038127,Ventos de São Zacarias 02,8,5.7,120.0,163.0,200.0,45.6,,False
PI,038129,Ventos de São Zacarias 04,8,5.7,120.0,163.0,200.0,45.6,,False
PI,038133,Ventos de São Zacarias 08,8,5.7,120.0,163.0,200.0,45.6,,False
BA,034430,Parque Eólico Alecrim,15,3.0,78.0,97.0,126.0,45.0,,False
BA,050035,Ventos de São Carlos 07,12,4.2,105.0,150.0,180.0,50.4,,False
BA,051588,Ventos de Santa Luzia 14,12,6.0,115.0,170.0,200.0,72.0,,False
BA,051589,Ventos de Santa Luzia 15,12,6.0,115.0,170.0,200.0,72.0,,False
PB,050017,Ventos de São Rafael 11,29,4.2,105.0,150.0,180.0,126.0,Construção não iniciada,True
PB,044990,Serra da Borborema III,3,5.9,120.0,163.0,202.0,17.7,Construção,False
PB,044991,Serra da Borborema IV,4,5.9,120.0,163.0,202.0,23.6,Construção,False
PE,049353,Serra das Vacas A,8,5.8,101.0,158.0,180.0,46.4,,False
