code,name,lat,lon,confidence,source
81434,CAETIT-BA230,-14.138099,-42.478715,reference-psrbus,reference-psrbus
81435,CAETIT-BA034,-14.164050,-42.489358,interpolated,topology-interp
81436,CAEABC-BA034,-14.090000,-42.526667,interpolated,topology-interp
81437,PLANAL-BA069,-14.020000,-42.626667,interpolated,topology-interp
81438,PLANAL-BA034,-14.010000,-42.633333,interpolated,topology-interp
81439,NSCONC-BA069,-13.980000,-42.636667,interpolated,topology-interp
81440,NSCONC-BA034,-13.930000,-42.653333,interpolated,topology-interp
81441,NSCONCEOL034,-13.880000,-42.670000,case-existing,case-existing
81442,LICALM-BA069,-14.080000,-42.623333,interpolated,topology-interp
81443,LICALM-BA034,-14.130000,-42.626667,interpolated,topology-interp
81444,LICALMEOL034,-14.180000,-42.630000,case-existing,case-existing
81445,GUIRAP-BA069,-14.090000,-42.630000,interpolated,topology-interp
81446,GUIRAP-BA034,-14.150000,-42.640000,interpolated,topology-interp
81447,GUIRAPEOL034,-14.210000,-42.650000,case-existing,case-existing
81448,ALVORA-BA069,-14.076667,-42.613333,interpolated,topology-interp
81449,ALVORA-BA034,-14.123333,-42.606667,interpolated,topology-interp
81450,ALVORAEOL034,-14.170000,-42.600000,case-existing,case-existing
81451,CDVENT-BA069,-13.990000,-42.620000,interpolated,topology-interp
81452,CDVENT-BA034,-13.950000,-42.620000,interpolated,topology-interp
81453,PLANALEOL034,-14.000000,-42.640000,case-existing,case-existing
81454,CDVENTEOL034,-13.910000,-42.620000,case-existing,case-existing
81455,QUINB2-BA034,-14.045136,-42.650494,interpolated,topology-interp
81456,QUINA--BA500,-14.023561,-42.616960,interpolated,topology-interp
81457,ABILII-BA034,-14.368460,-42.569007,interpolated,topology-interp
81458,QUINA--BA230,-14.110338,-42.630971,interpolated,topology-interp
81459,QUINA1EOL034,-14.020000,-42.670000,case-existing,case-existing
81460,QUINA2EOL034,-13.980000,-42.670000,case-existing,case-existing
81461,QUINA--BA013,-14.067121,-42.623919,interpolated,topology-interp
81462,QUINT1-BA000,-14.066912,-42.623975,interpolated,topology-interp
81463,ABILII-BA230,-14.353839,-42.576029,reference-psrbus,reference-psrbus
81464,QUINB1-BA034,-14.065136,-42.650494,interpolated,topology-interp
81465,PDAGUAEOL034,-14.540000,-42.580000,case-existing,case-existing
81466,CEDRO-EOL034,-14.330000,-42.570000,case-existing,case-existing
81467,VELLOZEOL034,-14.250000,-42.550000,case-existing,case-existing
81468,TAMBOI-BA230,-14.020194,-42.653989,interpolated,topology-interp
81469,TAMBOI-BA034,-13.930156,-42.676979,interpolated,topology-interp
81470,TAMBOIEOL034,-13.840000,-42.700000,case-existing,case-existing
81471,ACAET1-BA034,-13.741250,-42.581250,interpolated,topology-interp
81472,TAMBIIEOL034,-13.890000,-42.690000,case-existing,case-existing
81473,A.CAETEOL034,-13.660000,-42.570000,case-existing,case-existing
81474,CNORB1-BA034,-14.088333,-42.530000,interpolated,topology-interp
81475,CNORB1EOL034,-14.090000,-42.510000,case-existing,case-existing
81476,ACAET2-BA034,-13.746250,-42.586250,interpolated,topology-interp
81477,A.CAETEOL034 034kV-2,-13.670000,-42.580000,case-existing,case-existing
81478,CAENOR-BA230,-14.033333,-42.580000,interpolated,topology-interp
81479,TAMBII-BA230,-13.888834,-42.692537,reference-psrbus,reference-psrbus
81480,TAMBII-BA034,-13.889417,-42.691268,interpolated,topology-interp
81481,CNORB2-BA034,-14.138333,-42.540000,interpolated,topology-interp
81482,CNORB2EOL034,-14.190000,-42.530000,case-existing,case-existing
81483,CNO-T1-BA000,-14.086667,-42.550000,interpolated,topology-interp
81484,A.CAET-BA230,-13.822500,-42.592500,interpolated,topology-interp
81485,GPEXPAEOL034,-14.380000,-42.620000,case-existing,case-existing
81486,ABIL-I-BA034,-14.308571,-42.562857,interpolated,topology-interp
81487,GPEXPAEOL034 034kV-2,-14.410000,-42.650000,case-existing,case-existing
81488,FSERR1EOL034,-14.550000,-42.580000,case-existing,case-existing
81489,FSERR2EOL034,-14.560000,-42.580000,case-existing,case-existing
81490,ABILI1EOL034,-14.310000,-42.560000,case-existing,case-existing
81491,ABILI2EOL034,-14.290000,-42.560000,case-existing,case-existing
81492,PND12-EOL034,-14.430000,-42.650000,case-existing,case-existing
81493,ABIL-I-BA230,-14.364286,-42.591429,interpolated,topology-interp
81494,FSERRA-BA230,-14.474000,-42.604000,interpolated,topology-interp
81495,FSERRA-BA034,-14.528000,-42.588000,interpolated,topology-interp
81496,GPEXPA-BA034,-14.400952,-42.634286,interpolated,topology-interp
81497,GPEXPB-BA034,-14.417619,-42.644286,interpolated,topology-interp
81498,ABILI3EOL034,-14.270000,-42.540000,case-existing,case-existing
81499,PND34-EOL034,-14.410000,-42.650000,case-existing,case-existing
81500,GPEXPA-BA230,-14.412857,-42.632857,interpolated,topology-interp
81501,BWG1B1EOL034,-14.340000,-42.590000,case-existing,case-existing
81502,CAETIT-BA069,-14.450000,-42.600000,interpolated,topology-interp
81503,PELOUR-BA069,-14.453333,-42.610000,interpolated,topology-interp
81504,CAETB1-BA034,-14.460000,-42.590000,interpolated,topology-interp
81505,PELOUR-BA034,-14.486667,-42.600000,interpolated,topology-interp
81506,CAETB1EOL034,-14.470000,-42.580000,case-existing,case-existing
81507,BWGUI1-BA069,-14.380000,-42.607500,interpolated,topology-interp
81508,PELOUREOL034,-14.520000,-42.590000,case-existing,case-existing
81509,BWGUI2-BA069,-14.415000,-42.620000,interpolated,topology-interp
81510,BWG1B1-BA034,-14.360000,-42.598750,interpolated,topology-interp
81511,BWG2B1-BA034,-14.427500,-42.625000,interpolated,topology-interp
81512,BWG2B1EOL034,-14.440000,-42.630000,case-existing,case-existing
81513,CAETB2EOL034,-14.490000,-42.580000,case-existing,case-existing
81514,CAETB2-BA034,-14.470000,-42.590000,interpolated,topology-interp
81515,BWG1B2-BA034,-14.360000,-42.603750,interpolated,topology-interp
81516,BWG1B2EOL034,-14.340000,-42.600000,case-existing,case-existing
81517,BWG2B2-BA034,-14.397500,-42.615000,interpolated,topology-interp
81518,BWG2B2EOL034,-14.380000,-42.610000,case-existing,case-existing
81519,MCPSUL-BA500,-11.639817,-41.367024,interpolated,topology-interp
81520,VSEG21-BA034,-11.545000,-41.327720,interpolated,topology-interp
81521,VSESPA-BA000,-11.606962,-41.347046,interpolated,topology-interp
81522,VSESPB-BA000,-11.583366,-41.333938,interpolated,topology-interp
81523,VSESPC-BA000,-11.579852,-41.329367,interpolated,topology-interp
