code,name,lat,lon,confidence,source
81736,VPII2--PI000,-8.032561,-40.691238,interpolated,topology-interp
81737,VPII4--PI000,-8.035069,-40.682466,interpolated,topology-interp
81738,VPII3--PI000,-8.033823,-40.686823,interpolated,topology-interp
81739,VPII5--PI000,-8.033823,-40.679354,interpolated,topology-interp
81740,VPII2--PI013,-8.033833,-40.679315,interpolated,topology-interp
81741,VPIII2-PI000,-7.999543,-40.581939,interpolated,topology-interp
81742,VPIII3-PI000,-8.001014,-40.573105,interpolated,topology-interp
81743,VPIII4-PI000,-8.002466,-40.564382,interpolated,topology-interp
81744,CHAPNH-PI230,-8.018462,-40.628462,interpolated,topology-interp
81745,CG2B1-UFV034,-7.380000,-40.570000,case-existing,case-existing
81746,SDP---UFV034,-8.020000,-40.610000,case-existing,case-existing
81747,VSVB1-EOL034,-8.010000,-40.640000,case-existing,case-existing
