! NUM ...........Latitude ..........Longitude
  136          -12.845164          -60.322046
  137          -12.899642 -60.197071999999999
  138          -12.350849          -61.759878
  139          -12.574121 -61.490302999999997
  140          -13.084085 -60.622073999999998
  141          -13.127896 -60.641112999999997
  142          -13.151667 -60.656666999999999
  143          -12.823064          -60.292845
  144          -12.837778 -60.578055999999997
 1577          -12.492165 -60.472034999999998
 1578              -12.98              -60.68
 1579          -11.985439 -62.179630000000003
 1580            -11.9529 -62.180244000000002
 1581 -11.910258000000001 -62.181108999999999
 1582           -11.90442          -61.235284
 1583          -11.931198 -62.103971000000001
 1584 -12.704444000000001 -60.884721999999996
 1585 -10.230416999999999 -63.233750000000001
 1586 -9.9369440000000004 -63.076388999999999
 1587 -10.020277999999999 -63.060277999999997
 1588 -11.995556000000001 -62.171388999999998
 1589 -11.926380999999999 -62.146247000000002
 1590 -12.271224999999999            -61.1875
 2069 -10.849805999999999 -62.005844000000003
 2070           -10.21153 -63.805205000000001
 2071 -9.4546530000000004 -62.026783999999999
 2072 -11.511388999999999 -62.164444000000003
 3929              -10.93 -69.560000000000002
 3954              -10.93 -69.560000000000002
 3979              -10.93 -69.560000000000002
 4004              -10.93 -69.560000000000002
 4029              -10.93 -69.560000000000002
 4054              -10.93 -69.560000000000002
 4079              -10.93 -69.560000000000002
 4104              -10.93 -69.560000000000002
 4129              -10.93 -69.560000000000002
 4154              -10.93 -69.560000000000002
 4179              -10.93 -69.560000000000002
 4850 -9.1684149999999995 -69.817706999999999
 4851 -9.1684149999999995 -69.817706999999999
 4852 -9.1684149999999995 -69.817706999999999
 4853 -9.1684149999999995 -69.817706999999999
 4854 -9.1684149999999995 -69.817706999999999
 4855 -9.1684149999999995 -69.817706999999999
 4856 -9.1684149999999995 -69.817706999999999
 4857 -9.1684149999999995 -69.817706999999999
 4858 -9.1684149999999995 -69.817706999999999
 4859 -9.9904910000000005 -67.829644000000002
 4860 -9.1684149999999995 -69.817706999999999
 4861 -9.1684149999999995 -69.817706999999999
 4862 -9.1684149999999995 -69.817706999999999
 6161 -8.7981409999999993 -63.830598999999999
 6162          -11.341213 -61.692503000000002
 6163          -11.341213 -61.692503000000002
 6164          -11.341213 -61.692503000000002
 6165          -11.341213 -61.692503000000002
 6166          -11.341213 -61.692503000000002
 6167          -11.341213 -61.692503000000002
 6168          -11.341213 -61.692503000000002
 6169          -11.341213 -61.692503000000002
 6170          -11.341213 -61.692503000000002
 6171          -11.341213 -61.692503000000002
 6172          -11.341213 -61.692503000000002
 6173          -11.341213 -61.692503000000002
 6174          -11.341213 -61.692503000000002
 6175          -11.341213 -61.692503000000002
 6176          -11.341213 -61.692503000000002
 6177          -11.341213 -61.692503000000002
 6178          -11.341213 -61.692503000000002
 6179          -11.341213 -61.692503000000002
 6180          -11.341213 -61.692503000000002
 6181          -11.341213 -61.692503000000002
 8394          -11.341213 -61.692503000000002
 8395          -11.341213 -61.692503000000002
 8396          -11.341213 -61.692503000000002
 8397          -11.341213 -61.692503000000002
 8398          -11.341213 -61.692503000000002
 8399          -11.341213 -61.692503000000002
 8400          -11.341213 -61.692503000000002
 8401          -11.341213 -61.692503000000002
 8402          -11.341213 -61.692503000000002
 8403          -11.341213 -61.692503000000002
 8404          -11.341213 -61.692503000000002
 8405          -11.341213 -61.692503000000002
 8406          -11.341213 -61.692503000000002
 8407          -11.341213 -61.692503000000002
 8408          -11.341213 -61.692503000000002
 8409          -11.341213 -61.692503000000002
 8410          -11.341213 -61.692503000000002
 8411          -11.341213 -61.692503000000002
 8412          -11.341213 -61.692503000000002
 8413          -11.341213 -61.692503000000002
 8414          -11.341213 -61.692503000000002
