! NUM ...........Latitude ..........Longitude
   48 -25.588304000000001 -49.355862000000002
  156 -31.550000000000001 -53.659999999999997
   35 -29.759899000000001 -56.990535000000001
  258          -27.290944 -49.783166999999999
   28 -21.103549999999998 -50.230165999999997
   26 -28.449999999999999 -48.969999999999999
   27 -28.449999999999999 -48.969999999999999
   25 -28.449999999999999 -48.969999999999999
   24 -28.449999999999999 -48.969999999999999
   64 -29.876370999999999 -51.146928000000003
  149 -30.101448999999999 -53.654443999999998
  107 -31.450925999999999 -53.779020000000003
  254              -24.73 -52.009999999999998
  768 -29.876370999999999 -51.146928000000003
  782 -31.550000000000001 -53.659999999999997
  810              -24.73 -52.009999999999998
  839 -32.079999999999998 -52.270000000000003
  840              -26.25 -48.899999999999999
  841 -29.760000000000002                 -57
  856 -32.079999999999998 -52.270000000000003
  857              -26.25 -48.899999999999999
  858 -29.760000000000002                 -57
  879          -24.243333 -50.740000000000002
  880 -23.442703000000002 -51.873249000000001
  881 -23.777806999999999 -52.422607999999997
  882 -23.089175000000001 -52.461145000000002
  883 -24.325099999999999 -53.957917000000002
  884 -26.210000000000001 -52.670000000000002
  885 -25.860790000000001 -53.241331000000002
  886 -23.911294999999999 -53.323554999999999
  887 -25.704170999999999 -53.048259999999999
  888 -25.162935000000001 -54.182170999999997
  909          -24.243333 -50.740000000000002
  910 -23.442703000000002 -51.873249000000001
  911 -23.777806999999999 -52.422607999999997
  912 -23.089175000000001 -52.461145000000002
  913 -24.325099999999999 -53.957917000000002
  914 -26.210000000000001 -52.670000000000002
  915 -25.860790000000001 -53.241331000000002
  916 -23.911294999999999 -53.323554999999999
  917 -25.704170999999999 -53.048259999999999
  918 -25.162935000000001 -54.182170999999997
