! NUM ...........Latitude ..........Longitude
   52 -7.2300000000000004 -35.890000000000001
   57 -3.8730099999999998 -38.616534999999999
   98 -7.8600000000000003 -35.009999999999998
  144 -9.3973759999999995 -40.499999000000003
  235          -12.687227 -38.352569000000003
  162 -7.8584440000000004 -35.015971999999998
  152 -8.2689149999999998 -35.024545000000003
   67 -7.1600000000000001 -34.859999999999999
   69               -7.21 -34.920000000000002
  167 -3.5499999999999998 -38.810000000000002
  163 -3.5899999999999999 -38.869999999999997
  224 -10.815645999999999 -36.937061999999997
  106          -12.767464 -38.481507999999998
   53           -12.73021 -38.481217000000001
   55          -12.729994 -38.482120999999999
  151 -5.8706209999999999          -35.293312
  161 -5.8688099999999999          -35.304648
  223               -12.5 -38.210000000000001
  241               -12.5 -38.210000000000001
  147               -12.5 -38.210000000000001
   96 -8.3990659999999995 -34.956924000000001
   43 -12.699999999999999              -38.57
   58 -3.6924999999999999 -38.871667000000002
   83 -20.598050000000001 -49.190004999999999
  170 -8.3519930000000002          -35.022973
  762 -12.699999999999999              -38.57
  763 -3.6924999999999999 -38.871667000000002
  767 -20.598050000000001 -49.190004999999999
  793 -7.1600000000000001 -34.859999999999999
  794               -7.21 -34.920000000000002
  796 -9.3973759999999995 -40.499999000000003
  798 -8.2689149999999998 -35.024545000000003
  811 -8.3519930000000002          -35.022973
  842              -10.82 -36.939999999999998
  843 -3.6000000000000001 -38.869999999999997
  844 -8.4000000000000004 -35.020000000000003
  845 -8.4000000000000004 -34.969999999999999
  846 -8.3599999999999994 -35.030000000000001
