! NUM ...........Latitude ..........Longitude
   12             -15.596 -56.097000000000001
    4 -22.914269000000001 -43.765292000000002
   86 -22.914269000000001 -43.765292000000002
   50 -23.696287999999999 -46.668590999999999
  182 -16.809999999999999 -49.909999999999997
  334 -20.547222000000001 -54.749721999999998
  171          -22.759922 -47.154386000000002
  172          -22.759922 -47.154386000000002
  173          -22.759922 -47.154386000000002
  174          -22.759922 -47.154386000000002
  229          -20.383889 -51.425832999999997
    1 -23.010000000000002 -44.460000000000001
   13 -23.010000000000002 -44.460000000000001
   15 -19.530000000000001 -39.799999999999997
  257 -19.530000000000001 -39.799999999999997
  247 -19.530000000000001 -39.799999999999997
  251 -19.534731000000001 -39.802149999999997
   49           -20.37396 -40.429282000000001
  253 -20.379169000000001 -40.436947000000004
  153          -16.396393 -48.930359000000003
  256              -22.52 -48.640000000000001
  146 -18.780000000000001 -50.229999999999997
  245 -22.930485000000001 -43.857013999999999
  246 -22.936126000000002 -43.834043000000001
  249 -20.940069000000001 -43.802577999999997
  250 -22.870000000000001 -43.710000000000001
  211           -22.72223 -43.642957000000003
   97 -23.875530999999999 -46.431825000000003
   63 -19.990556999999999 -44.098390000000002
   54          -21.685454 -43.447479000000001
  110 -23.698889000000001 -46.678610999999997
   62          -22.720043 -43.646873999999997
   90 -22.305917000000001 -41.865813000000003
   47 -22.709620999999999 -43.245812999999998
   68 -20.741009999999999 -51.654145999999997
  137 -21.843071999999999 -41.013216999999997
  238 -21.843071999999999 -41.013216999999997
  236          -22.362278 -41.869486000000002
  248              -22.77 -47.200000000000003
  183 -22.909863000000001 -43.739637999999999
  108 -16.579999999999998 -49.259999999999998
   44 -23.010000000000002 -44.469999999999999
  760          -22.720043 -43.646873999999997
  761 -20.741009999999999 -51.654145999999997
  769          -21.685454 -43.447479000000001
  772          -21.262273 -44.693913999999999
  774 -23.698889000000001 -46.678610999999997
  775 -22.914269000000001 -43.765292000000002
  776           -22.72223 -43.642957000000003
  791          -16.396393 -48.930359000000003
  795 -16.579999999999998 -49.259999999999998
  801 -22.305917000000001 -41.865813000000003
  802 -22.930485000000001 -43.857013999999999
  803 -22.936126000000002 -43.834043000000001
  804 -19.530000000000001 -39.799999999999997
  805              -22.77 -47.200000000000003
  806 -20.940069000000001 -43.802577999999997
  807 -22.870000000000001 -43.710000000000001
  808 -19.534731000000001 -39.802149999999997
  809 -20.379169000000001 -40.436947000000004
  812 -22.579999999999998              -48.82
  813 -14.119999999999999 -46.630000000000003
  814 -19.649999999999999 -51.399999999999999
  815 -23.379999999999999 -46.399999999999999
  816 -22.609999999999999 -48.799999999999997
  817              -20.68              -53.57
  818 -17.449999999999999 -46.689999999999998
  819 -21.859999999999999 -44.509999999999998
  820 -20.449999999999999 -53.780000000000001
  821 -12.550000000000001 -55.719999999999999
  822 -20.539999999999999 -53.829999999999998
  833              -21.84 -41.020000000000003
  834              -19.77 -40.390000000000001
  835 -22.309999999999999 -41.869999999999997
  836 -22.870000000000001 -43.710000000000001
  837 -9.1799999999999997 -57.020000000000003
  838 -22.359999999999999 -41.869999999999997
  850              -21.84 -41.020000000000003
  851              -22.75 -43.329999999999998
  852              -19.77 -40.390000000000001
  853 -22.309999999999999 -41.869999999999997
  854 -23.699999999999999              -46.68
  855 -22.359999999999999 -41.869999999999997
  859 -20.379999999999999 -43.549999999999997
  860 -19.670000000000002 -46.909999999999997
  861 -19.600000000000001 -43.200000000000003
  862 -21.710000000000001 -43.399999999999999
  863              -21.66 -46.844999999999999
  864              -20.43              -43.32
  865              -20.48 -43.920000000000002
  866 -17.309999999999999 -44.920000000000002
  867          -20.063333              -44.75
  868              -17.07 -47.109999999999999
  869 -23.530000000000001              -46.75
  870 -23.449999999999999 -46.380000000000003
  871 -23.600000000000001 -46.689999999999998
  872 -23.199999999999999 -45.890000000000001
  873 -23.559999999999999 -46.909999999999997
  874 -23.579999999999998 -46.520000000000003
  875 -23.600000000000001 -46.469999999999999
  876 -23.510000000000002 -46.520000000000003
  877 -23.710000000000001              -46.68
  878 -23.489999999999998 -46.770000000000003
  889 -20.379999999999999 -43.549999999999997
  890 -19.670000000000002 -46.909999999999997
  891 -19.600000000000001 -43.200000000000003
  892 -21.710000000000001 -43.399999999999999
  893              -21.66 -46.844999999999999
  894              -20.43              -43.32
  895              -20.48 -43.920000000000002
  896 -17.309999999999999 -44.920000000000002
  897          -20.063333              -44.75
  898              -17.07 -47.109999999999999
  899 -23.530000000000001              -46.75
  900 -23.449999999999999 -46.380000000000003
  901 -23.600000000000001 -46.689999999999998
  902 -23.199999999999999 -45.890000000000001
  903 -23.559999999999999 -46.909999999999997
  904 -23.579999999999998 -46.520000000000003
  905 -23.600000000000001 -46.469999999999999
  906 -23.510000000000002 -46.520000000000003
  907 -23.710000000000001              -46.68
  908 -23.489999999999998 -46.770000000000003
