$version=1
!Code,Latitude,Longitude
10,-20.057405060606058,-49.15747224242425
1,-20.296920144451086,-47.300658814837256
2,-27.559044336574466,-51.242231832834555
3,-8.20578343161095,-39.38590396618541
4,-5.855279564885498,-48.9880749801527
5,-25.008749999999996,-53.16166666666666
6,-9.955692628140701,-64.49439782412055
7,-1.3956667938144307,-58.09782119587625
8,-3.1233333333333335,-51.75
9,-11.264375,-56.934375
11,-3.2099999999999995,-56
100,-24.43,-51.68
200,-5.49,-47.44
300,-4.1,-51.2475
